PaperID,Author,Year,DOI,Data_type,Taxa,Species,Strain,Strain_Origin,Annual average temperature of strain origin ºC,Latitude,Experimental_design,Control_temp,Treatment_temp,Growth Metric,Control_mean,Control_SD,Control_n,Treatment_mean,Treatment_SD,Treatment_n,Experimental conditions (length of warming),Notes,DeltaT,check 
dino1,Funaki et al.,2024,10.3800/pbr.19.191 ,Laboratory Experiment,Dinoflagellate,Prorocentrum cf. balticum ,KWT167 ,"Pacific, NE Japan",18.6,39.50067,Batch culture,20,25,Specific growth rate (d^-1),0.568,0.0192,3,0.609,0.0102,3,,,5,
dino2,Funaki et al.,2024,10.3800/pbr.19.191 ,Laboratory Experiment,Dinoflagellate,Prorocentrum cf. balticum ,KWT167 ,"Pacific, NE Japan",18.6,39.50067,Batch culture,20,30,Specific growth rate (d^-1),0.568,0.0192,3,-0.813,0.0495,3,,,10,
diatom28,Acheampong et al.,2021,10.2989/1814232X.2021.1879267,Laboratory Experiment,Diatom,Thalassiosira weissflogii ,CCMP 1050 ,California,28,32.966,Semi-continual batch cultures,28,30,Specific growth rate (d^-1),1.9243697,0.20168067,3,0.3361345,0.30252101,3,,GR at 5 days of growth,2,
diatom29,Acheampong et al.,2021,10.2989/1814232X.2021.1879267,Laboratory Experiment,Diatom,Thalassiosira weissflogii ,CCMP 1050 ,California,28,32.966,Semi-continual batch cultures,28,32,Specific growth rate (d^-1),1.9243697,0.20168067,3,-0.1176471,0.07563025,3,,GR at 5 days of growth,4,
dino3,Acheampong et al.,2021,10.2989/1814232X.2021.1879267,Laboratory Experiment,Dinoflagellate,Gymnodinium sp. ,CCMP 423 ,USA,28,41.566,Semi-continual batch cultures,28,30,Specific growth rate (d^-1),2.7,0.3333333,3,0.2666667,0.7333333,3,,GR at 5 days of growth,2,
dino4,Acheampong et al.,2021,10.2989/1814232X.2021.1879267,Laboratory Experiment,Dinoflagellate,Gymnodinium sp. ,CCMP 423 ,USA,28,41.566,Semi-continual batch cultures,28,32,Specific growth rate (d^-1),2.7,0.3333333,3,0.6,0.5666667,3,,GR at 5 days of growth,4,
dino5,Jephson et al.,2011,10.3354/ame01498 ,Laboratory Experiment,Dinoflagellate,Prorocentrum minimum,GUMACC78,Baltic Sea,10,58.6,Batch culture,10,15,Specific growth rate (d^-1),0.05409836,0.006147541,4,0.09508197,0.06147541,4,,At control salinities 15 psu,5,
dino6,Jephson et al.,2011,10.3354/ame01498 ,Laboratory Experiment,Dinoflagellate,Prorocentrum minimum,GUMACC78,Baltic Sea,10,58.6,Batch culture,10,20,Specific growth rate (d^-1),0.05409836,0.006147541,4,0.04180328,0.030737705,4,,At control salinities 15 psu,10,
dino7,Jephson et al.,2011,10.3354/ame01498,Laboratory Experiment,Dinoflagellate,Heterocapsa triquetra,GUMACC71,Baltic Sea,10,58.6,Batch culture,10,15,Specific growth rate (d^-1),0.0602459,0.036885246,4,0.23442623,0.071721311,4,,At control salinities 15 psu,5,
dino8,Jephson et al.,2011,10.3354/ame01498,Laboratory Experiment,Dinoflagellate,Heterocapsa triquetra,GUMACC71,Baltic Sea,10,58.6,Batch culture,10,20,Specific growth rate (d^-1),0.0602459,0.036885246,4,0.12581967,0.043032787,4,,At control salinities 15 psu,10,
dino9,Seto et al.,2019,10.1016/j.hal.2019.101670,Laboratory Experiment,Dinoflagellate,Alexandrium catenella,CCMP1978,Sargasso Sea,15,28.983,Batch culture,15,20,Specific growth rate (d^-1),0.356,0.050285714,3,0.1777143,0.08,3,,At control pH 8.1,5,
dino10,Seto et al.,2019,10.1016/j.hal.2019.101670,Laboratory Experiment,Dinoflagellate,Scrippsiella sp.,CCMP772,North Atlantic,15,43.844,Batch culture,15,20,Specific growth rate (d^-1),0.2714286,0.027428571,3,0.3262857,0.052571429,3,,At control pH 8.2,5,
dino11,Seto et al.,2019,10.1016/j.hal.2019.101670,Laboratory Experiment,Dinoflagellate,Amphidinium carterae,CCMP1314,,15,41.56,Batch culture,15,20,Specific growth rate (d^-1),0.3468571,0.006857143,3,0.4474286,0.020571429,3,,At control pH 8.3,5,
dino12,Deschaseaux et al.,2019,10.5194/bg-16-4377-2019,Laboratory Experiment,Dinoflagellate,Alexandrium minutum ,CS-324 ,"Port River, Adelaide, Australia",20,−34.833,Batch culture,20,24,Specific growth rate (d^-1),2.57,0.01,5,2.66,0.01,5,6 days,"Mild stress at 24°C; enhanced growth, no stress response.",4,
dino13,Deschaseaux et al.,2019,10.5194/bg-16-4377-2019,Laboratory Experiment,Dinoflagellate,Alexandrium minutum ,CS-324 ,"Port River, Adelaide, Australia",20,−34.833,Batch culture,20,32,Specific growth rate (d^-1),2.57,0.01,5,2.4,0.02,5,6 days,"Severe thermal stress at 32°C; growth declined, photosynthesis impaired, ROS increased.",12,
dino14,Sala-Pérez et al.,2021,10.1515/bot-2020-0076,Laboratory Experiment,Dinoflagellate,Gymnodinium aureolum,GA13A_1,Black Sea,15,43,Batch culture,15,20,Specific growth rate (d^-1),0.2774775,0.02702703,3,0.38,0.02,3,,Maintained at control salinity of 15 psu,5,
dino15,Broemsen et al.,2024,10.1016/j.hal.2023.102558,Laboratory Experiment,Dinoflagellate,Karlodinium veneficum,CCMP 426,"Florida Everglades, Florida",15,25.6,Batch culture,15,20,Specific growth rate (d^-1),0.196747967,0.05203252,3,0.326829268,0.07154472,3,,,5,
dino16,Broemsen et al.,2024,10.1016/j.hal.2023.102558,Laboratory Experiment,Dinoflagellate,Karlodinium veneficum,CCMP 426,"Florida Everglades, Florida",15,25.6,Batch culture,15,25,Specific growth rate (d^-1),0.196747967,0.05203252,3,0.167479675,0.08130081,3,,,10,
dino17,Broemsen et al.,2024,10.1016/j.hal.2023.102558,Laboratory Experiment,Dinoflagellate,Karlodinium veneficum,2010 IH,Baltimore Inner Harbor,15,39.284,Batch culture,15,20,Specific growth rate (d^-1),0.18699187,0.03902439,3,0.128455285,0.03902439,3,,,5,
dino18,Broemsen et al.,2024,10.1016/j.hal.2023.102558,Laboratory Experiment,Dinoflagellate,Karlodinium veneficum,2010 IH,Baltimore Inner Harbor,15,39.284,Batch culture,15,25,Specific growth rate (d^-1),0.18699187,0.03902439,3,0.349593496,0.07804878,3,,,10,
dino19,Broemsen et al.,2024,10.1016/j.hal.2023.102558,Laboratory Experiment,Dinoflagellate,Karlodinium veneficum,CCMP 1975,"Lower Chesapeake, Hyrock Fish Farm, Princess Anne, Maryland",15,38.2,Batch culture,15,20,Specific growth rate (d^-1),0.144715447,0.05203252,3,0.274796748,0.10731707,3,,,5,
dino20,Broemsen et al.,2024,10.1016/j.hal.2023.102558,Laboratory Experiment,Dinoflagellate,Karlodinium veneficum,CCMP 416,"inner Oslofjord, Norway",15,59.9,Batch culture,15,20,Specific growth rate (d^-1),0.043902439,0.04227642,3,0.336585366,0.06504065,3,,,5,
dino21,Broemsen et al.,2024,10.1016/j.hal.2023.102558,Laboratory Experiment,Dinoflagellate,Karlodinium veneficum,CCMP 416,"inner Oslofjord, Norway",15,59.9,Batch culture,15,25,Specific growth rate (d^-1),0.043902439,0.04227642,3,0.619512195,0.07154472,3,,,10,
